# H1, H2, H3, H4
0.73,0.81,0.37,0.87
0.28,0.80,0.06,0.06
0.11,0.27,0.58,0.02
0.97,0.38,0.70,0.63
0.54,0.09,0.68,0.65
0.48,0.11,0.55,0.01
0.25,1.00,0.10,0.71
0.46,0.33,0.96,0.82
0.74,0.35,0.07,0.68
0.75,0.30,0.10,0.03
0.80,0.50,0.54,0.57
0.57,0.71,0.87,0.87
0.25,0.63,0.58,0.95
0.79,0.58,0.10,0.06
0.35,0.40,0.01,0.72
0.26,0.77,0.21,0.09
0.61,0.57,0.87,0.57
0.17,0.34,0.37,0.22
0.78,0.09,0.15,0.09
0.33,0.30,0.12,0.69
0.96,0.57,0.18,0.41
0.50,0.56,0.18,0.92
0.47,0.38,0.25,0.81
0.85,0.57,0.83,0.03
0.17,0.68,0.52,0.34
0.10,0.47,0.47,0.27
0.22,0.27,0.59,0.12
0.17,0.93,0.06,0.96
0.82,0.38,0.16,0.99
0.08,0.43,0.48,0.30
0.25,0.68,0.99,0.65
0.41,0.06,0.74,0.50
0.15,0.94,0.27,0.89
0.62,0.73,0.56,0.82
0.42,0.85,0.65,0.01
0.35,0.97,0.46,0.10
0.77,0.08,0.88,0.79
0.47,0.89,0.61,0.82
0.73,0.72,0.19,0.61
0.63,0.18,0.95,0.28
0.64,0.71,0.80,0.56
0.03,0.76,0.99,0.56
0.49,0.44,0.98,0.19
0.61,0.60,0.99,0.43
0.72,0.26,0.67,0.22
0.44,0.73,0.89,0.88
0.65,0.12,0.47,0.91
0.17,0.22,0.65,0.28
0.32,0.49,0.52,0.54
0.73,0.43,0.83,0.96
